Hello	Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.	2025-03-07T18:40:10.538Z	Paris	https://s3/photoLink3;https://s3/photoLink4;https://s3/photoLink5	https://s3/previewImage6	true	true	4	house		7	3	180314	Bober Sidyachii	another_email@example.com	https://s3/authorAvatar2	veryCoolP{asd	Standart	8	-78.4959	-98.2861
Just a room	Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.	2025-03-11T18:40:10.541Z	Brussels	https://s3/photoLink3;https://s3/photoLink4;https://s3/photoLink5;https://s3/photoLink6	https://s3/previewImage2	false	false	3	house	Baby seat;Breakfast	8	4	385389	Roman Ivanov	some@email.com	https://s3/authorAvatar4	asdad2334veve	Standart	3	-47.7706	-6.8422
Cool Apartment	Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.	2025-03-07T18:40:10.542Z	Amsterdam	https://s3/photoLink4;https://s3/photoLink5;https://s3/photoLink6;https://s3/photoLink7	https://s3/previewImage4	true	false	2	room	Baby seat;Breakfast	3	7	208322	Roman Ivanov	privet_mir@email.com	https://s3/authorAvatar1	secretAnother	Pro	9	-4.6346	-19.7322
Very bad house	Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.	2025-03-10T18:40:10.543Z	Cologne	https://s3/photoLink3;https://s3/photoLink4;https://s3/photoLink5;https://s3/photoLink6;https://s3/photoLink7	https://s3/previewImage2	true	true	5	apartment	Laptop friendly workspace;Baby seat;Breakfast	7	3	802135	Roman Ivanov	john_doe23@example.org	https://s3/authorAvatar1	secretAnother	Pro	14	24.9139	74.9961
Hello	Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.	2025-03-10T18:40:10.544Z	Paris	https://s3/photoLink3;https://s3/photoLink4;https://s3/photoLink5;https://s3/photoLink6;https://s3/photoLink7	https://s3/previewImage7	true	true	3	apartment	Laptop friendly workspace;Baby seat;Breakfast	7	8	360049	Bober Sidyachii	some@email.com	https://s3/authorAvatar1	asdad2334veve	Standart	21	38.7799	173.3689
Very bad house	Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.	2025-03-06T18:40:10.544Z	Cologne	https://s3/photoLink6;https://s3/photoLink7	https://s3/previewImage2	true	true	3	room	Fridge;Air conditioning;Laptop friendly workspace;Baby seat	7	8	646230	Jojn Doe	last_email@example,com	https://s3/authorAvatar3	secret123	Pro	10	-21.0431	-130.7438
Very bad house	Tristique dignissim litora bibendum suscipit nam suspendisse arcu habitasse.	2025-03-07T18:40:10.545Z	Hamburg	https://s3/photoLink1;https://s3/photoLink2;https://s3/photoLink3;https://s3/photoLink4;https://s3/photoLink5	https://s3/previewImage4	true	true	4	room	Baby seat;Breakfast	4	5	588539	Pasha Stavnikov	privet_mir@email.com	https://s3/authorAvatar4	secret123	Standart	14	-75.5848	-87.8405
Just a room	Volutpat purus erat ultrices augue cras torquent lectus. Suscipit facilisi posuere suscipit ad risus dui ultricies leo. 	2025-03-09T18:40:10.546Z	Hamburg	https://s3/photoLink2;https://s3/photoLink3;https://s3/photoLink4;https://s3/photoLink5;https://s3/photoLink6;https://s3/photoLink7	https://s3/previewImage7	true	false	3	house	Towels;Fridge;Air conditioning;Laptop friendly workspace;Baby seat;Breakfast	7	10	479849	Roman Ivanov	privet_mir@email.com	https://s3/authorAvatar3	secretAnother	Pro	9	-21.087	-73.876
Very bad house	Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.	2025-03-07T18:40:10.547Z	Cologne	https://s3/photoLink6;https://s3/photoLink7	https://s3/previewImage5	false	true	1	house	Air conditioning;Laptop friendly workspace;Baby seat;Breakfast	7	7	876266	Roman Ivanov	some@email.com	https://s3/authorAvatar3	secretAnother	Pro	8	-33.454	-82.0404
Bye	Tristique dignissim litora bibendum suscipit nam suspendisse arcu habitasse.	2025-03-07T18:40:10.547Z	Amsterdam	https://s3/photoLink1;https://s3/photoLink2;https://s3/photoLink3;https://s3/photoLink4;https://s3/photoLink5	https://s3/previewImage6	true	true	2	apartment	Air conditioning;Laptop friendly workspace;Baby seat;Breakfast	8	3	72991	Pasha Stavnikov	last_email@example,com	https://s3/authorAvatar4	veryCoolP{asd	Standart	5	57.2619	11.5595
